Time Step,Flux
0,-0.105737686
1,-0.402665
2,0.37587276
3,0.22961129
4,-0.2119627
5,-0.006318591
6,-0.59349966
7,0.41115388
8,-0.21309672
9,0.24936199
10,-0.9679905
11,0.2924749
12,0.36649656
13,-0.27768
14,-0.7691413
15,0.64296526
16,-0.744381
17,-0.5276898
18,0.87454367
19,-0.4891854
20,1.4318209
21,1.1176301
22,0.786567
23,0.63357306
24,0.4962745
25,0.4455693
26,-0.15716788
27,1.043095
28,0.35982555
29,-0.24353418
30,0.76732856
31,-0.5396342
32,1.5422407
33,2.121157
34,1.5529261
35,2.241553
36,0.6830312
37,1.4108654
38,-0.14178613
39,0.39941314
40,0.75801784
41,1.3304814
42,-0.76255584
43,0.19237919
44,0.5852089
45,0.70828146
46,-0.8282488
47,0.5011801
48,0.018159186
49,-0.49881017
50,-0.5794235
51,0.26163402
52,0.60307443
53,0.7386123
54,-0.6872877
55,0.629862
56,1.3526968
57,0.81661
58,2.8435261
59,1.5425664
60,1.4972967
61,2.8160348
62,2.3756108
63,2.4561381
64,1.3290638
65,1.7146729
66,1.1652575
67,2.2500596
68,2.2251675
69,2.7699842
70,1.8705947
71,1.7078291
72,0.94626516
73,0.6313866
74,0.4842402
75,0.030254101
76,0.600758
77,0.12628154
78,0.33717656
79,0.9088332
80,0.3100715
81,1.7655952
82,1.3550843
83,-0.12543538
84,-0.040904336
85,-0.46756387
86,-0.072137274
87,0.45170605
88,1.5087332
89,0.18076606
90,1.3295397
91,1.3647476
92,1.4651098
93,2.3795967
94,1.3404195
95,2.1996546
96,1.884692
97,2.318665
98,2.148648
99,0.5300996
100,1.3886148
101,0.9625169
102,0.7878534
103,0.8854507
104,0.7524198
105,0.7881862
106,-0.87502277
107,0.6521071
108,0.30985337
109,0.9448867
110,-0.37117794
111,0.47859472
112,0.6175678
113,0.19604547
114,0.01114814
115,-0.24315567
116,-0.51215035
117,0.3265461
118,-0.095311575
119,-0.3401933
120,0.33326355
121,0.07410159
122,0.6718369
123,-0.09382932
124,0.8143096
125,0.40782765
126,0.80217886
127,0.7924251
128,0.80424696
129,0.48825946
130,-0.74674064
131,-0.63165975
132,-0.6757794
133,1.0354583
134,0.6758369
135,-0.04099953
136,0.03210393
137,0.95775545
138,0.11726985
139,-0.20950523
140,0.4965351
141,0.38297513
142,0.83626676
143,0.46575892
144,0.25054073
145,0.21728715
146,0.58019644
147,-0.36760938
148,-0.29210678
149,0.040637676
150,0.9836354
151,0.47619733
152,0.55527264
153,0.3369117
154,-0.4946814
155,0.16278812
156,0.59831977
157,0.2331617
158,0.02337546
159,-0.2591047
160,-0.075982004
161,0.35647058
162,0.04708906
163,0.29939836
164,0.49901086
165,-0.30403864
166,0.14045718
167,-0.3016442
168,0.78391266
169,-0.11671659
170,-0.5389344
171,-0.061091404
172,-0.26245373
173,-0.53704655
174,1.4845998
175,0.68255335
176,1.0987576
177,0.19073759
178,0.23057503
179,0.18382226
180,0.49336153
181,-0.42437306
182,-0.19400404
183,0.2913813
184,0.4821725
185,-0.875219
186,0.028841415
187,0.8582802
188,-0.15300891
189,0.30588523
190,0.9749374
191,-0.31210455
192,-0.5583717
193,0.99897915
194,-0.038322616
195,0.009741509
196,0.32178122
197,0.51375586
198,-0.08611587
199,0.45466197
200,0.18415104
201,0.48426452
202,1.1948754
203,0.45522925
204,0.57531935
205,0.21102627
206,0.9706111
207,1.5471468
208,1.4767714
209,0.67044663
210,1.7442064
211,0.7755513
212,0.7355275
213,0.7399361
214,1.0367233
215,0.9631185
216,1.2343404
217,0.2055663
218,-0.56404155
219,0.2851095
220,0.72886133
221,-0.0017984966
222,-0.10746385
223,0.42968285
224,0.14578958
225,-0.06252163
226,0.3361858
227,0.07055262
228,-0.29599586
229,0.72923154
230,0.47424307
231,0.46632868
232,0.87418664
233,-0.2001834
234,0.37247425
235,0.24912044
236,-0.34574547
237,-0.23108357
238,0.20804231
239,0.80790985
240,0.73582953
241,-0.7168933
242,0.2167256
243,-0.022540323
244,0.29771027
245,0.095878966
246,-0.23350261
247,0.07127576
248,0.04727825
249,-0.897162
250,0.0043082847
251,0.3458905
252,-0.38066953
253,0.1842725
254,0.13173033
255,-0.49545783
256,0.3590981
257,-0.023973456
258,-0.1669728
259,0.053951725
260,0.2861677
261,-0.55735385
262,0.083885275
263,0.296034
264,0.29735225
265,0.54669434
266,0.37210777
267,0.033373624
268,-0.4313601
269,-0.049117103
270,-0.42942885
271,0.0003025794
272,-0.073720045
273,-0.08192088
274,0.6953723
275,0.48894128
276,0.4423973
277,0.05126081
278,0.25746498
279,-0.06874459
280,-0.2361523
281,-0.39842862
282,-0.15479755
283,0.92262244
284,-0.4810137
285,-0.71813583
286,0.41592324
287,-0.12652312
288,0.58664054
289,0.2249588
290,-0.44283268
291,0.45648447
292,-0.67453784
293,0.3042212
294,0.39973077
295,0.4379707
296,0.3679244
297,-0.083210446
298,0.26601222
299,0.32483545
300,0.6439275
301,0.10984411
302,-0.6360073
303,0.08080965
304,0.033545762
305,0.016773883
306,-0.037465554
307,0.70904577
308,-0.051796928
309,-0.53910625
310,0.49709094
311,0.17656931
312,0.053559616
313,-0.31757998
314,-0.27629074
315,0.25169212
316,-0.25186375
317,0.22598648
318,-0.10353064
319,0.4477192
320,-0.62422824
321,-0.0007185752
322,-0.0055698548
323,0.62196326
324,1.1018412
325,-0.35051107
326,0.5349763
327,-0.3981481
328,-0.74650234
329,0.30988777
330,0.16404815
331,-0.077357516
332,-0.238849
333,-0.46617252
334,-0.28237572
335,0.22869013
336,0.28266403
337,-0.111467116
338,0.3550707
339,0.37018344
340,-0.044076283
341,0.582612
342,0.29928786
343,0.014214479
344,-0.51636714
345,0.500092
346,-0.8505612
347,-0.057054
348,0.20551845
349,-0.1660498
350,0.47249448
351,0.39325494
352,0.6427096
353,0.6583209
354,0.70415956
355,0.5022307
356,0.33966297
357,0.37209323
358,0.31313437
359,0.29177895
360,0.9429985
361,0.4327869
362,1.0178945
363,0.8706722
364,1.4999664
365,1.3501091
366,1.7683718
367,1.155736
368,0.6341668
369,1.3639765
370,0.7309512
371,1.4031808
372,0.016391516
373,0.55239314
374,-0.05876471
375,0.7191593
376,0.35040683
377,0.48986748
378,0.51867676
379,0.41860697
380,0.5972297
381,0.68500006
382,-0.16473454
383,-0.32952014
384,0.25396475
385,-0.15212266
386,0.26660562
387,0.35411602
388,-0.13260183
